date,price,self_driving,total,price_comp,self_driving_comp,total_comp
5/20/18,54000,8000,62000,0,0,0
6/25/18,54000,8000,62000,0,0,0
6/26/18,53000,8000,61000,-1000,0,-1000
8/1/18,53000,8000,61000,-1000,0,-1000
8/2/18,54000,8000,62000,0,0,0
9/9/18,54000,8000,62000,0,0,0
9/10/18,55000,8000,63000,1000,0,1000
10/17/18,55000,8000,63000,1000,0,1000
10/18/18,54000,8000,62000,0,0,0
10/23/18,54000,8000,62000,0,0,0
10/24/18,53000,8000,61000,-1000,0,-1000
10/26/18,53000,8000,61000,-1000,0,-1000
12/31/18,53000,8000,61000,-1000,0,-1000
1/1/19,51000,8000,59000,-3000,0,-3000
2/4/19,51000,8000,59000,-3000,0,-3000
2/5/19,49900,8000,57900,-4100,0,-4100
2/27/19,49900,8000,57900,-4100,0,-4100
2/28/19,47000,9000,56000,-7000,1000,-6000
3/20/19,47000,9000,56000,-7000,1000,-6000
3/21/19,48500,9000,57500,-5500,1000,-4500
4/10/19,48500,9000,57500,-5500,1000,-4500
4/11/19,49500,6000,55500,-4500,-2000,-6500
5/13/19,49500,6000,55500,-4500,-2000,-6500
5/14/19,49900,6000,55900,-4100,-2000,-6100
7/14/19,49900,6000,55900,-4100,-2000,-6100
7/15/19,47990,6000,53990,-6010,-2000,-8010
8/12/19,47990,6000,53990,-6010,-2000,-8010
8/13/19,47990,6000,53990,-6010,-2000,-8010
8/15/19,47990,6000,53990,-6010,-2000,-8010
8/16/19,47990,7000,54990,-6010,-1000,-7010
10/16/19,47990,7000,54990,-6010,-1000,-7010
10/17/19,47990,7000,54990,-6010,-1000,-7010
10/31/19,47990,7000,54990,-6010,-1000,-7010
11/1/19,48490,7000,55490,-5510,-1000,-6510
12/12/19,48490,7000,55490,-5510,-1000,-6510
12/13/19,48990,7000,55990,-5010,-1000,-6010
5/26/20,48990,7000,55990,-5010,-1000,-6010
5/27/20,46990,7000,53990,-7010,-1000,-8010
7/1/20,46990,8000,54990,-7010,0,-7010
8/1/20,46990,8000,54990,-7010,0,-7010
